test: epoch: -1, nrg_mae: 74083.609375 meV/atom, force_mae: 0 meV/AA
epoch: 0, nrg_mae: 4169.44384765625 meV/atom, force_mae: 0 meV/AA
epoch: 0, nrg_mae: 4101.54052734375 meV/atom, force_mae: 0 meV/AA
epoch: 0, nrg_mae: 3507.301025390625 meV/atom, force_mae: 0 meV/AA
epoch: 0, nrg_mae: 2143.241455078125 meV/atom, force_mae: 0 meV/AA
epoch: 0, nrg_mae: 573.8868408203125 meV/atom, force_mae: 0 meV/AA
epoch: 0, nrg_mae: 134.08230590820312 meV/atom, force_mae: 0 meV/AA
epoch: 0, nrg_mae: 51.14306640625 meV/atom, force_mae: 0 meV/AA
epoch: 0, nrg_mae: 47.8487548828125 meV/atom, force_mae: 0 meV/AA
epoch: 0, nrg_mae: 44.53771209716797 meV/atom, force_mae: 0 meV/AA
epoch: 0, nrg_mae: 44.31758499145508 meV/atom, force_mae: 0 meV/AA
epoch: 0, nrg_mae: 43.471923828125 meV/atom, force_mae: 0 meV/AA
epoch: 0, nrg_mae: 40.4621696472168 meV/atom, force_mae: 0 meV/AA
validation: epoch: 0, nrg_mae: 41.775291442871094 meV/atom, force_mae: 0 meV/AA
test: epoch: 0, nrg_mae: 41.775291442871094 meV/atom, force_mae: 0 meV/AA
epoch: 1, nrg_mae: 40.4621696472168 meV/atom, force_mae: 0 meV/AA
epoch: 1, nrg_mae: 38.56324005126953 meV/atom, force_mae: 0 meV/AA
epoch: 1, nrg_mae: 37.323394775390625 meV/atom, force_mae: 0 meV/AA
epoch: 1, nrg_mae: 37.33475875854492 meV/atom, force_mae: 0 meV/AA
epoch: 1, nrg_mae: 37.335105895996094 meV/atom, force_mae: 0 meV/AA
epoch: 1, nrg_mae: 37.17357635498047 meV/atom, force_mae: 0 meV/AA
epoch: 1, nrg_mae: 36.69209289550781 meV/atom, force_mae: 0 meV/AA
epoch: 1, nrg_mae: 36.1263313293457 meV/atom, force_mae: 0 meV/AA
epoch: 1, nrg_mae: 35.96681594848633 meV/atom, force_mae: 0 meV/AA
epoch: 1, nrg_mae: 35.760154724121094 meV/atom, force_mae: 0 meV/AA
epoch: 1, nrg_mae: 35.243682861328125 meV/atom, force_mae: 0 meV/AA
epoch: 2, nrg_mae: 35.243682861328125 meV/atom, force_mae: 0 meV/AA
epoch: 2, nrg_mae: 34.29317092895508 meV/atom, force_mae: 0 meV/AA
epoch: 2, nrg_mae: 32.47108840942383 meV/atom, force_mae: 0 meV/AA
epoch: 2, nrg_mae: 30.198749542236328 meV/atom, force_mae: 0 meV/AA
epoch: 2, nrg_mae: 29.006088256835938 meV/atom, force_mae: 0 meV/AA
epoch: 2, nrg_mae: 28.4418888092041 meV/atom, force_mae: 0 meV/AA
epoch: 2, nrg_mae: 32.776824951171875 meV/atom, force_mae: 0 meV/AA
epoch: 2, nrg_mae: 28.455026626586914 meV/atom, force_mae: 0 meV/AA
epoch: 2, nrg_mae: 27.078155517578125 meV/atom, force_mae: 0 meV/AA
epoch: 2, nrg_mae: 26.1262264251709 meV/atom, force_mae: 0 meV/AA
epoch: 2, nrg_mae: 25.770748138427734 meV/atom, force_mae: 0 meV/AA
epoch: 2, nrg_mae: 25.414459228515625 meV/atom, force_mae: 0 meV/AA
epoch: 3, nrg_mae: 25.414459228515625 meV/atom, force_mae: 0 meV/AA
epoch: 3, nrg_mae: 25.083847045898438 meV/atom, force_mae: 0 meV/AA
epoch: 3, nrg_mae: 24.044593811035156 meV/atom, force_mae: 0 meV/AA
epoch: 3, nrg_mae: 23.81570816040039 meV/atom, force_mae: 0 meV/AA
epoch: 3, nrg_mae: 23.135570526123047 meV/atom, force_mae: 0 meV/AA
epoch: 3, nrg_mae: 23.257373809814453 meV/atom, force_mae: 0 meV/AA
epoch: 3, nrg_mae: 23.341556549072266 meV/atom, force_mae: 0 meV/AA
epoch: 3, nrg_mae: 23.326915740966797 meV/atom, force_mae: 0 meV/AA
epoch: 3, nrg_mae: 23.213632583618164 meV/atom, force_mae: 0 meV/AA
epoch: 3, nrg_mae: 23.09063720703125 meV/atom, force_mae: 0 meV/AA
epoch: 3, nrg_mae: 22.552934646606445 meV/atom, force_mae: 0 meV/AA
epoch: 4, nrg_mae: 22.552934646606445 meV/atom, force_mae: 0 meV/AA
epoch: 4, nrg_mae: 36.65946578979492 meV/atom, force_mae: 0 meV/AA
epoch: 4, nrg_mae: 21.768884658813477 meV/atom, force_mae: 0 meV/AA
epoch: 4, nrg_mae: 20.699756622314453 meV/atom, force_mae: 0 meV/AA
epoch: 4, nrg_mae: 19.860843658447266 meV/atom, force_mae: 0 meV/AA
